SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails,,,,Species,abund
Cultch Reef,8/23/2024,5-years Post-restoration,AV,0,100,,,,AV,0
Cultch Reef,6/21/2024,5-years Post-restoration,AV,0,200,,,,DN,0
Cultch Reef,10/31/2023,5-years Post-restoration,AV,0,101,,,,GA,2
Cultch Reef,9/11/2023,5-years Post-restoration,AV,0,297,,,,HQ,2
Cultch Reef,6/30/2023,5-years Post-restoration,AV,0,100,,,,LS,31
Cultch Reef,4/19/2023,5-years Post-restoration,AV,0,400,,,,PM,0
Cultch Reef,8/23/2024,5-years Post-restoration,DN,0,100,,,,SD,0
Cultch Reef,6/21/2024,5-years Post-restoration,DN,0,200,,,,ST,6
Cultch Reef,10/31/2023,5-years Post-restoration,DN,0,101,,,,ZL,2
Cultch Reef,9/11/2023,5-years Post-restoration,DN,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,DN,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,DN,0,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,GA,1,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,GA,0,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,GA,1,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,GA,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,GA,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,GA,0,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,HQ,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,HQ,1,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,HQ,0,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,HQ,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,HQ,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,HQ,1,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,LS,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,LS,1,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,LS,3,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,LS,17,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,LS,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,LS,10,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,PM,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,PM,0,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,PM,0,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,PM,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,PM,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,PM,0,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,SD,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,SD,0,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,SD,0,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,SD,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,SD,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,SD,0,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,ST,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,ST,2,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,ST,0,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,ST,0,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,ST,2,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,ST,2,400,,,,,
Cultch Reef,8/23/2024,5-years Post-restoration,ZL,0,100,,,,,
Cultch Reef,6/21/2024,5-years Post-restoration,ZL,0,200,,,,,
Cultch Reef,10/31/2023,5-years Post-restoration,ZL,0,101,,,,,
Cultch Reef,9/11/2023,5-years Post-restoration,ZL,2,297,,,,,
Cultch Reef,6/30/2023,5-years Post-restoration,ZL,0,100,,,,,
Cultch Reef,4/19/2023,5-years Post-restoration,ZL,0,400,,,,,
