SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails,,,,,Species,Counts
Cultch Reef,1/19/2018,Pre-restoration,AV,0,300,,,,,AV,3
Cultch Reef,3/19/2018,Pre-restoration,AV,0,267,,,,,DN,0
Cultch Reef,5/3/2018,Pre-restoration,AV,0,100,,,,,GA,0
Cultch Reef,1/19/2018,Pre-restoration,DN,0,300,,,,,HQ,1
Cultch Reef,3/19/2018,Pre-restoration,DN,0,267,,,,,LS,10
Cultch Reef,5/3/2018,Pre-restoration,DN,0,100,,,,,PM,0
Cultch Reef,1/19/2018,Pre-restoration,GA,0,300,,,,,SD,0
Cultch Reef,3/19/2018,Pre-restoration,GA,0,267,,,,,ST,3
Cultch Reef,5/3/2018,Pre-restoration,GA,0,100,,,,,ZL,3
Cultch Reef,1/19/2018,Pre-restoration,HQ,1,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,HQ,0,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,HQ,0,100,,,,,,
Cultch Reef,1/19/2018,Pre-restoration,LS,6,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,LS,4,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,LS,0,100,,,,,,
Cultch Reef,1/19/2018,Pre-restoration,PM,0,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,PM,0,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,PM,0,100,,,,,,
Cultch Reef,1/19/2018,Pre-restoration,SD,0,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,SD,0,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,SD,0,100,,,,,,
Cultch Reef,1/19/2018,Pre-restoration,ST,1,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,ST,2,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,ST,0,100,,,,,,
Cultch Reef,1/19/2018,Pre-restoration,ZL,0,300,,,,,,
Cultch Reef,3/19/2018,Pre-restoration,ZL,3,267,,,,,,
Cultch Reef,5/3/2018,Pre-restoration,ZL,0,100,,,,,,
