Sites,Shoreline,Method,Age,Counts,Dims,Oysdens
OB 1 Ramp,Adult Ramp,Shell Bag,Adult,22,0.431171333,51.02380028
OB 4 Ramp,Adult Ramp,Shell Bag,Adult,14,0.282762667,49.51148666
OC 1 Ramp,Adult Ramp,Oyster Catcher,Adult,22,0.04543423,484.2164157
OC 3 Ramp,Adult Ramp,Oyster Catcher,Adult,45,0.026100999,1724.071954
SB 2 Creek,Adult Creek,Shell Bag,Adult,236,0.615096,383.6799459
OC 2 Creek,Adult Creek,Oyster Catcher,Adult,69,0.01473288,4683.402023
SB 1 Creek,Adult Creek,Shell Bag,Adult,198,0.497666667,397.8566644
OC 3 Creek,Adult Creek,Oyster Catcher,Adult,39,0.02192505,1778.787278
OC 2 Ramp,Adult Ramp,Oyster Catcher,Adult,10,0.038936,256.8317239
OB 3 Ramp,Adult Ramp,Shell Bag,Adult,8,0.392257778,20.39475175
SB 4 Creek,Adult Creek,Shell Bag,Adult,193,0.590711111,326.7248514
OC 1 Creek,Adult Creek,Oyster Catcher,Adult,36,0.02093595,1719.530282
OC 4 Creek,Adult Creek,Oyster Catcher,Adult,61,0.01632015,3737.710744
SB 3 Creek,Adult Creek,Shell Bag,Adults,171,0.689432667,248.0300228
OC 4 Ramp,Adult Ramp,Oyster Catcher,Adults,3,0.02815167,106.565614
OB 1 Ramp,Juvenile Ramp,Shell Bag,Juvenile,16,0.431171333,37.10821839
OB 4 Ramp,Juvenile Ramp,Shell Bag,Juvenile,10,0.282762667,35.36534762
OC 1 Ramp,Juvenile Ramp,Oyster Catcher,Juvenile,8,0.04543423,176.0786966
OC 3 Ramp,Juvenile Ramp,Oyster Catcher,Juvenile,26,0.026100999,996.1304623
SB 2 Creek,Juvenile Creek,Shell Bag,Juvenile,136,0.615096,221.1036976
OC 2 Creek,Juvenile Creek,Oyster Catcher,Juvenile,20,0.01473288,1357.507833
SB 1 Creek,Juvenile Creek,Shell Bag,Juvenile,87,0.497666667,174.8158071
OC 3 Creek,Juvenile Creek,Oyster Catcher,Juvenile,35,0.02192505,1596.347557
OC 2 Ramp,Juvenile Ramp,Oyster Catcher,Juvenile,15,0.038936,385.2475858
OB 3 Ramp,Juvenile Ramp,Shell Bag,Juvenile,12,0.392257778,30.59212763
SB 4 Creek,Juvenile Creek,Shell Bag,Juvenile,79,0.590711111,133.7371153
OC 1 Creek,Juvenile Creek,Oyster Catcher,Juvenile,38,0.02093595,1815.059742
OC 4 Creek,Juvenile Creek,Oyster Catcher,Juvenile,34,0.01632015,2083.314185
SB 3 Creek,Juvenile Creek,Shell Bag,Juvenile,45,0.689432667,65.27105862
OC 4 Ramp,Juvenile Ramp,Oyster Catcher,Juvenile,6,0.02815167,213.1312281
