SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails,,,,,Species,Counts
Restored Reef,8/23/2024,5-years Post-restoration,AV,0,163,,,,,AV,0
Restored Reef,6/21/2024,5-years Post-restoration,AV,0,198,,,,,DN,0
Restored Reef,10/31/2023,5-years Post-restoration,AV,0,177,,,,,GA,0
Restored Reef,9/11/2023,5-years Post-restoration,AV,0,200,,,,,HQ,2
Restored Reef,6/30/2023,5-years Post-restoration,AV,0,100,,,,,LS,27
Restored Reef,4/19/2023,5-years Post-restoration,AV,0,300,,,,,PM,2
Restored Reef,8/23/2024,5-years Post-restoration,DN,0,163,,,,,SD,1
Restored Reef,6/21/2024,5-years Post-restoration,DN,0,198,,,,,ST,10
Restored Reef,10/31/2023,5-years Post-restoration,DN,0,177,,,,,ZL,0
Restored Reef,9/11/2023,5-years Post-restoration,DN,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,DN,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,DN,0,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,GA,0,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,GA,0,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,GA,0,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,GA,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,GA,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,GA,0,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,HQ,1,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,HQ,0,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,HQ,1,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,HQ,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,HQ,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,HQ,0,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,LS,5,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,LS,4,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,LS,8,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,LS,4,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,LS,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,LS,6,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,PM,1,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,PM,0,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,PM,0,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,PM,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,PM,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,PM,1,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,SD,0,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,SD,0,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,SD,0,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,SD,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,SD,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,SD,1,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,ST,2,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,ST,3,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,ST,2,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,ST,1,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,ST,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,ST,2,300,,,,,,
Restored Reef,8/23/2024,5-years Post-restoration,ZL,0,163,,,,,,
Restored Reef,6/21/2024,5-years Post-restoration,ZL,0,198,,,,,,
Restored Reef,10/31/2023,5-years Post-restoration,ZL,0,177,,,,,,
Restored Reef,9/11/2023,5-years Post-restoration,ZL,0,200,,,,,,
Restored Reef,6/30/2023,5-years Post-restoration,ZL,0,100,,,,,,
Restored Reef,4/19/2023,5-years Post-restoration,ZL,0,300,,,,,,
