SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails
Restored Reef,1/19/2018,Pre-restoration,LS,6,300
Restored Reef,1/19/2018,Pre-restoration,ZL,1,300
Restored Reef,1/19/2018,Pre-restoration,HQ,1,300
Restored Reef,1/19/2018,Pre-restoration,ST,0,300
Restored Reef,1/19/2018,Pre-restoration,AV,0,300
Restored Reef,1/19/2018,Pre-restoration,SD,0,300
Restored Reef,1/19/2018,Pre-restoration,DN,1,300
Restored Reef,1/19/2018,Pre-restoration,GA,0,300
Restored Reef,1/19/2018,Pre-restoration,PM,0,300
Cultch Reef,1/19/2018,Pre-restoration,LS,6,300
Cultch Reef,1/19/2018,Pre-restoration,ZL,0,300
Cultch Reef,1/19/2018,Pre-restoration,HQ,1,300
Cultch Reef,1/19/2018,Pre-restoration,ST,1,300
Cultch Reef,1/19/2018,Pre-restoration,AV,0,300
Cultch Reef,1/19/2018,Pre-restoration,SD,0,300
Cultch Reef,1/19/2018,Pre-restoration,DN,0,300
Cultch Reef,1/19/2018,Pre-restoration,GA,0,300
Cultch Reef,1/19/2018,Pre-restoration,PM,0,300
Restored Reef,3/19/2018,Pre-restoration,LS,0,100
Restored Reef,3/19/2018,Pre-restoration,ZL,0,100
Restored Reef,3/19/2018,Pre-restoration,HQ,0,100
Restored Reef,3/19/2018,Pre-restoration,ST,0,100
Restored Reef,3/19/2018,Pre-restoration,AV,0,100
Restored Reef,3/19/2018,Pre-restoration,SD,0,100
Restored Reef,3/19/2018,Pre-restoration,DN,0,100
Restored Reef,3/19/2018,Pre-restoration,GA,0,100
Restored Reef,3/19/2018,Pre-restoration,PM,0,100
Cultch Reef,3/19/2018,Pre-restoration,LS,4,267
Cultch Reef,3/19/2018,Pre-restoration,ZL,3,267
Cultch Reef,3/19/2018,Pre-restoration,HQ,0,267
Cultch Reef,3/19/2018,Pre-restoration,ST,2,267
Cultch Reef,3/19/2018,Pre-restoration,AV,0,267
Cultch Reef,3/19/2018,Pre-restoration,SD,0,267
Cultch Reef,3/19/2018,Pre-restoration,DN,0,267
Cultch Reef,3/19/2018,Pre-restoration,GA,0,267
Cultch Reef,3/19/2018,Pre-restoration,PM,0,267
Restored Reef,5/3/2018,Pre-restoration,LS,1,220
Restored Reef,5/3/2018,Pre-restoration,ZL,0,220
Restored Reef,5/3/2018,Pre-restoration,HQ,2,220
Restored Reef,5/3/2018,Pre-restoration,ST,0,220
Restored Reef,5/3/2018,Pre-restoration,AV,0,220
Restored Reef,5/3/2018,Pre-restoration,SD,0,220
Restored Reef,5/3/2018,Pre-restoration,DN,0,220
Restored Reef,5/3/2018,Pre-restoration,GA,0,220
Restored Reef,5/3/2018,Pre-restoration,PM,0,220
Cultch Reef,5/3/2018,Pre-restoration,LS,0,100
Cultch Reef,5/3/2018,Pre-restoration,ZL,0,100
Cultch Reef,5/3/2018,Pre-restoration,HQ,0,100
Cultch Reef,5/3/2018,Pre-restoration,ST,0,100
Cultch Reef,5/3/2018,Pre-restoration,AV,0,100
Cultch Reef,5/3/2018,Pre-restoration,SD,0,100
Cultch Reef,5/3/2018,Pre-restoration,DN,0,100
Cultch Reef,5/3/2018,Pre-restoration,GA,0,100
Cultch Reef,5/3/2018,Pre-restoration,PM,0,100
Restored Reef,3/18/2019,1-year Post-restoration,LS,5,194
Restored Reef,3/18/2019,1-year Post-restoration,ZL,4,194
Restored Reef,3/18/2019,1-year Post-restoration,HQ,1,194
Restored Reef,3/18/2019,1-year Post-restoration,ST,0,194
Restored Reef,3/18/2019,1-year Post-restoration,AV,1,194
Restored Reef,3/18/2019,1-year Post-restoration,SD,2,194
Restored Reef,3/18/2019,1-year Post-restoration,DN,0,194
Restored Reef,3/18/2019,1-year Post-restoration,GA,0,194
Restored Reef,3/18/2019,1-year Post-restoration,PM,0,194
Cultch Reef,3/18/2019,1-year Post-restoration,LS,12,285
Cultch Reef,3/18/2019,1-year Post-restoration,ZL,9,285
Cultch Reef,3/18/2019,1-year Post-restoration,HQ,1,285
Cultch Reef,3/18/2019,1-year Post-restoration,ST,4,285
Cultch Reef,3/18/2019,1-year Post-restoration,AV,0,285
Cultch Reef,3/18/2019,1-year Post-restoration,SD,2,285
Cultch Reef,3/18/2019,1-year Post-restoration,DN,0,285
Cultch Reef,3/18/2019,1-year Post-restoration,GA,1,285
Cultch Reef,3/18/2019,1-year Post-restoration,PM,0,285
Restored Reef,5/7/2019,1-year Post-restoration,LS,13,282
Restored Reef,5/7/2019,1-year Post-restoration,ZL,0,282
Restored Reef,5/7/2019,1-year Post-restoration,HQ,0,282
Restored Reef,5/7/2019,1-year Post-restoration,ST,2,282
Restored Reef,5/7/2019,1-year Post-restoration,AV,0,282
Restored Reef,5/7/2019,1-year Post-restoration,SD,0,282
Restored Reef,5/7/2019,1-year Post-restoration,DN,0,282
Restored Reef,5/7/2019,1-year Post-restoration,GA,0,282
Restored Reef,5/7/2019,1-year Post-restoration,PM,0,282
Cultch Reef,5/7/2019,1-year Post-restoration,LS,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,ZL,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,HQ,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,ST,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,AV,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,SD,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,DN,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,GA,0,200
Cultch Reef,5/7/2019,1-year Post-restoration,PM,0,200
Restored Reef,8/2/2019,1-year Post-restoration,LS,2,282
Restored Reef,8/2/2019,1-year Post-restoration,ZL,0,282
Restored Reef,8/2/2019,1-year Post-restoration,HQ,0,282
Restored Reef,8/2/2019,1-year Post-restoration,ST,0,282
Restored Reef,8/2/2019,1-year Post-restoration,AV,0,282
Restored Reef,8/2/2019,1-year Post-restoration,SD,0,282
Restored Reef,8/2/2019,1-year Post-restoration,DN,0,282
Restored Reef,8/2/2019,1-year Post-restoration,GA,0,282
Restored Reef,8/2/2019,1-year Post-restoration,PM,0,282
Cultch Reef,8/2/2019,1-year Post-restoration,LS,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,ZL,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,HQ,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,ST,1,285
Cultch Reef,8/2/2019,1-year Post-restoration,AV,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,SD,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,DN,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,GA,0,285
Cultch Reef,8/2/2019,1-year Post-restoration,PM,0,285
Cultch Reef,4/19/2023,5-years Post-restoration,LS,10,400
Cultch Reef,4/19/2023,5-years Post-restoration,ZL,0,400
Cultch Reef,4/19/2023,5-years Post-restoration,HQ,1,400
